"temperature","crop_yield"
22.1976217672389,26
23.8491125525836,30
32.7935415707456,36
25.3525419571229,26
25.6464386758047,29
33.5753249344164,25
27.304581029946,32
18.6746938269673,28
21.5657357405324,37
22.7716901495002,39
31.1204089871973,32
26.7990691352868,28
27.0038572529703,30
25.5534135797256,37
22.2207943262296,29
33.9345656840154,21
27.4892523911462,25
15.1669142168518,34
28.5067795078184,32
22.6360429613603,31
19.6608814700658,33
23.9101254267085,40
19.8699777584638,33
21.3555438535443,25
21.8748036607537,30
16.5665334462879,24
29.1889352224726,36
25.7668655891826,36
19.3093153149403,39
31.2690746053496,31
27.1323211073841,27
23.5246425850386,36
29.4756283052251,21
29.3906674376652,33
29.1079054081874,29
28.4432012705005,32
27.7695882676879,24
24.6904414471164,43
23.4701866813004,17
23.0976449949381,31
21.5264651053974,24
23.960413609902,29
18.6730182421587,29
35.8447798266926,21
31.039809991525,35
19.3844570839833,27
22.9855758235046,27
22.6667232318839,23
28.8998255916816,20
24.5831546676409,31
26.2665925699738,33
24.8572662232565,27
24.7856477135434,31
31.8430114200723,41
23.8711450717037,23
32.5823530221477,29
17.2562359788489,41
27.9230687481803,25
25.6192712192231,40
26.0797078437199,24
26.8981974137994,32
22.4883827344535,27
23.3339630816529,25
19.9071230844646,28
19.6410438676221,25
26.5176432070213,29
27.2410488931471,27
25.2650211336525,30
29.6113373393987,34
35.2504234281357,27
22.5448441697173,33
13.4541556217959,34
30.0286926223113,37
21.453996187088,26
21.5599569176632,40
30.1278568484835,33
23.576134964745,23
18.8964114387273,23
25.9065173987458,42
24.3055431878048,37
25.0288209294994,28
26.9264020056317,32
23.146699841038,27
28.2218827425942,35
23.8975671909062,29
26.6589098195785,25
30.4841950657467,29
27.175907454169,30
23.3703420723439,31
30.7440380922555,36
29.9675192798106,27
27.7419847975404,35
26.1936586755572,30
21.8604696198031,44
31.80326224265,31
21.9987020642644,29
35.9366649650829,24
32.6630531309259,33
23.8214982044976,36
19.8678954984661,33
